Nom,CodeInsee,Code postal,Arrondissement,Canton,Intercommunalité,Superficie(km2),Population(dernière pop. légale),Densité(hab./km2),Modifier
Le Tablier,85285,85310,La Roche-sur-Yon,Mareuil-sur-Lay-Dissais,CA La Roche-sur-Yon - Agglomération,"9,28",756 (2022),81,NA
La Taillée,85286,85450,Fontenay-le-Comte,Luçon,CC Sud-Vendée-Littoral,"11,57",551 (2022),48,NA
Tallud-Sainte-Gemme,85287,85390,Fontenay-le-Comte,Les Herbiers,CC du Pays-de-Pouzauges,"18,57",447 (2022),24,NA
Talmont-Saint-Hilaire,85288,85440,Les Sables-d'Olonne,Talmont-Saint-Hilaire,CC Vendée-Grand-Littoral,"89,53",8 327 (2022),93,NA
Terval,85289,85120,Fontenay-le-Comte,La Châtaigneraie,CC du Pays-de-la-Châtaigneraie,"45,78",2 173 (2022),47,NA
Thiré,85290,85210,Fontenay-le-Comte,La Châtaigneraie,CC Sud-Vendée-Littoral,"11,60",538 (2022),46,NA
Thorigny,85291,85480,La Roche-sur-Yon,Chantonnay,CA La Roche-sur-Yon - Agglomération,"32,15",1 255 (2022),39,NA
Tiffauges,85293,85130,La Roche-sur-Yon,Mortagne-sur-Sèvre,CC du Pays-de-Mortagne,"9,92",1 556 (2022),157,NA
La Tranche-sur-Mer,85294,85360,Les Sables-d'Olonne,Mareuil-sur-Lay-Dissais,CC Sud-Vendée-Littoral,"17,63",3 129 (2022),177,NA
Treize-Septiers,85295,85600,La Roche-sur-Yon,Montaigu-Vendée,"CA Terres de Montaigu, communauté d'agglomération","21,84",3 361 (2022),154,NA
Treize-Vents,85296,85590,La Roche-sur-Yon,Mortagne-sur-Sèvre,CC du Pays-de-Mortagne,"19,12",1 240 (2022),65,NA
Triaize,85297,85580,Fontenay-le-Comte,Luçon,CC Sud-Vendée-Littoral,"58,80",1 061 (2022),18,NA
Vairé,85298,85150,Les Sables-d'Olonne,Talmont-Saint-Hilaire,CA Les Sables-d'Olonne-Agglomération,"28,12",1 951 (2022),69,NA
Les Velluire-sur-Vendée,85177,85770,Fontenay-le-Comte,Fontenay-le-Comte,CC Pays-de-Fontenay-Vendée,"26,49",1 366 (2022),52,NA
Venansault,85300,85190,La Roche-sur-Yon,La Roche-sur-Yon-1,CA La Roche-sur-Yon - Agglomération,"44,49",4 743 (2022),107,NA
Vendrennes,85301,85250,La Roche-sur-Yon,Montaigu-Vendée,CC du Pays des Herbiers,"16,92",1 802 (2022),107,NA
Vix,85303,85770,Fontenay-le-Comte,Fontenay-le-Comte,CC Vendée-Sèvre-Autise,"28,53",1 829 (2022),64,NA
Vouillé-les-Marais,85304,85450,Fontenay-le-Comte,Luçon,CC Sud-Vendée-Littoral,"9,14",782 (2022),86,NA
Vouvant,85305,85120,Fontenay-le-Comte,La Châtaigneraie,CC Pays-de-Fontenay-Vendée,"20,20",823 (2022),41,NA
Xanton-Chassenon,85306,85240,Fontenay-le-Comte,Fontenay-le-Comte,CC Vendée-Sèvre-Autise,"19,24",743 (2022),39,NA
Vendée,85,NA,,,,"6 720,00",706 343 (2022),105,NA
