Nom,CodeInsee,Code postal,Arrondissement,Canton,Intercommunalité,Superficie(km2),Population(dernière pop. légale),Densité(hab./km2),Modifier
Mareuil-sur-Lay-Dissais,85135,85320,Fontenay-le-Comte,Mareuil-sur-Lay-Dissais,CC Sud-Vendée-Littoral,"25,65",2 773 (2022),108,NA
Marillet,85136,85240,Fontenay-le-Comte,La Châtaigneraie,CC du Pays-de-la-Châtaigneraie,"4,25",124 (2022),29,NA
Marsais-Sainte-Radégonde,85137,85570,Fontenay-le-Comte,La Châtaigneraie,CC Pays-de-Fontenay-Vendée,"14,77",526 (2022),36,NA
Martinet,85138,85150,Les Sables-d’Olonne,Talmont-Saint-Hilaire,Pays-des-Achards,"18,11",1 199 (2022),66,NA
Le Mazeau,85139,85420,Fontenay-le-Comte,Fontenay-le-Comte,CC Vendée-Sèvre-Autise,"8,23",457 (2022),56,NA
La Meilleraie-Tillay,85140,85700,Fontenay-le-Comte,Les Herbiers,CC du Pays-de-Pouzauges,"20,13",1 489 (2022),74,NA
Menomblet,85141,85700,Fontenay-le-Comte,La Châtaigneraie,CC du Pays-de-la-Châtaigneraie,"20,95",681 (2022),33,NA
La Merlatière,85142,85140,La Roche-sur-Yon,Chantonnay,CC du Pays-de-Saint-Fulgent-les-Essarts,"14,86",1 010 (2022),68,NA
Mervent,85143,85200,Fontenay-le-Comte,Fontenay-le-Comte,CC Pays-de-Fontenay-Vendée,"22,23",1 073 (2022),48,NA
Mesnard-la-Barotière,85144,85500,La Roche-sur-Yon,Montaigu-Vendée,CC du Pays des Herbiers,"11,83",1 560 (2022),132,NA
Monsireigne,85145,85110,Fontenay-le-Comte,Les Herbiers,CC du Pays-de-Pouzauges,"20,50",989 (2022),48,NA
Montaigu-Vendée,85146,85600,La Roche-sur-Yon,Montaigu-Vendée,"CA Terres de Montaigu, communauté d'agglomération","116,65",20 754 (2022),178,NA
Montournais,85147,85700,Fontenay-le-Comte,Les Herbiers,CC du Pays-de-Pouzauges,"29,14",1 626 (2022),56,NA
Montreuil,85148,85200,Fontenay-le-Comte,Fontenay-le-Comte,CC Pays-de-Fontenay-Vendée,"12,03",820 (2022),68,NA
Montréverd,85197,85260,La Roche-sur-Yon,Aizenay,"CA Terres de Montaigu, communauté d'agglomération","48,47",3 833 (2022),79,NA
Moreilles,85149,85450,Fontenay-le-Comte,Luçon,CC Sud-Vendée-Littoral,"19,68",408 (2022),21,NA
Mortagne-sur-Sèvre,85151,85290,La Roche-sur-Yon,Mortagne-sur-Sèvre,CC du Pays-de-Mortagne,"21,94",6 065 (2022),276,NA
Mouchamps,85153,85640,La Roche-sur-Yon,Les Herbiers,CC du Pays des Herbiers,"55,00",2 986 (2022),54,NA
Mouilleron-le-Captif,85155,85000,La Roche-sur-Yon,La Roche-sur-Yon-1,CA La Roche-sur-Yon - Agglomération,"19,73",5 209 (2022),264,NA
Mouilleron-Saint-Germain,85154,85390,Fontenay-le-Comte,La Châtaigneraie,CC du Pays-de-la-Châtaigneraie,"28,40",1 749 (2022),62,NA
Moutiers-les-Mauxfaits,85156,85540,Les Sables-d'Olonne,Mareuil-sur-Lay-Dissais,CC Vendée-Grand-Littoral,"9,23",2 341 (2022),254,NA
Moutiers-sur-le-Lay,85157,85320,Fontenay-le-Comte,Mareuil-sur-Lay-Dissais,CC Sud-Vendée-Littoral,"18,28",823 (2022),45,NA
Mouzeuil-Saint-Martin,85158,85370,Fontenay-le-Comte,Luçon,CC Pays-de-Fontenay-Vendée,"25,85",1 211 (2022),47,NA
Nalliers,85159,85370,Fontenay-le-Comte,Luçon,CC Sud-Vendée-Littoral,"33,61",2 372 (2022),71,NA
Nesmy,85160,85310,La Roche-sur-Yon,La Roche-sur-Yon-2,CA La Roche-sur-Yon - Agglomération,"24,52",3 056 (2022),125,NA
Nieul-le-Dolent,85161,85430,Les Sables-d’Olonne,Talmont-Saint-Hilaire,Pays-des-Achards,"27,50",2 546 (2022),93,NA
Noirmoutier-en-l'Île,85163,85330,Les Sables-d'Olonne,Saint-Jean-de-Monts,CC de l'Île-de-Noirmoutier,"19,59",4 502 (2022),230,NA
Notre-Dame-de-Monts,85164,85690,Les Sables-d'Olonne,Saint-Jean-de-Monts,CC Océan-Marais-de-Monts,"20,62",2 293 (2022),111,NA
Notre-Dame-de-Riez,85189,85270,Les Sables-d'Olonne,Saint-Jean-de-Monts,CA Pays de Saint-Gilles-Croix-de-Vie Agglomération,"14,62",2 179 (2022),149,NA
L'Oie,85165,85140,La Roche-sur-Yon,Chantonnay,CC du Pays-de-Saint-Fulgent-les-Essarts,"14,06",1 264 (2022),90,NA
L'Orbrie,85167,85200,Fontenay-le-Comte,Fontenay-le-Comte,CC Pays-de-Fontenay-Vendée,"9,63",801 (2022),83,NA
Palluau,85169,85670,La Roche-sur-Yon,Challans,CC de Vie-et-Boulogne,"7,43",1 110 (2022),149,NA
Péault,85171,85320,Fontenay-le-Comte,Mareuil-sur-Lay-Dissais,CC Sud-Vendée-Littoral,"9,09",618 (2022),68,NA
Le Perrier,85172,85300,Les Sables-d'Olonne,Saint-Jean-de-Monts,CC Océan-Marais-de-Monts,"33,22",2 210 (2022),67,NA
Petosse,85174,85570,Fontenay-le-Comte,La Châtaigneraie,CC Pays-de-Fontenay-Vendée,"15,90",684 (2022),43,NA
Les Pineaux,85175,85320,Fontenay-le-Comte,Mareuil-sur-Lay-Dissais,CC Sud-Vendée-Littoral,"17,44",678 (2022),39,NA
Pissotte,85176,85200,Fontenay-le-Comte,Fontenay-le-Comte,CC Pays-de-Fontenay-Vendée,"11,96",1 144 (2022),96,NA
Le Poiré-sur-Vie,85178,85170,La Roche-sur-Yon,Aizenay,CC de Vie-et-Boulogne,"71,90",8 637 (2022),120,NA
Poiroux,85179,85440,Les Sables-d'Olonne,Talmont-Saint-Hilaire,CC Vendée-Grand-Littoral,"25,38",1 234 (2022),49,NA
Pouillé,85181,85570,Fontenay-le-Comte,Luçon,CC Pays-de-Fontenay-Vendée,"17,48",643 (2022),37,NA
Pouzauges,85182,85700,Fontenay-le-Comte,Les Herbiers,CC du Pays-de-Pouzauges,"36,65",5 641 (2022),154,NA
Puy-de-Serre,85184,85240,Fontenay-le-Comte,Fontenay-le-Comte,CC Vendée-Sèvre-Autise,"13,81",318 (2022),23,NA
Puyravault,85185,85450,Fontenay-le-Comte,Luçon,CC Sud-Vendée-Littoral,"17,07",646 (2022),38,NA
La Rabatelière,85186,85250,La Roche-sur-Yon,Montaigu-Vendée,CC du Pays-de-Saint-Fulgent-les-Essarts,"8,26",1 018 (2022),123,NA
Réaumur,85187,85700,Fontenay-le-Comte,Les Herbiers,CC du Pays-de-Pouzauges,"22,09",861 (2022),39,NA
La Réorthe,85188,85210,Fontenay-le-Comte,La Châtaigneraie,CC Sud-Vendée-Littoral,"23,88",1 157 (2022),48,NA
Rives-d'Autise,85162,8524085420,Fontenay-le-Comte,Fontenay-le-Comte,CC Vendée-Sèvre-Autise,"31,91",2 054 (2022),64,NA
Rives de l'Yon,85213,85310,La Roche-sur-Yon,Mareuil-sur-Lay-Dissais,CA La Roche-sur-Yon - Agglomération,"54,26",4 285 (2022),79,NA
Rives-du-Fougerais,85292,85410,Fontenay-le-Comte,La Châtaigneraie,CC du Pays-de-la-Châtaigneraie,"42,92",1 504 (2022),35,NA
Rocheservière,85190,85620,La Roche-sur-Yon,Aizenay,"CA Terres de Montaigu, communauté d'agglomération","28,15",3 571 (2022),127,NA
Rochetrejoux,85192,85510,La Roche-sur-Yon,Chantonnay,CC du Pays-de-Chantonnay,"10,92",980 (2022),90,NA
Rosnay,85193,85320,Fontenay-le-Comte,Mareuil-sur-Lay-Dissais,CC Sud-Vendée-Littoral,"14,11",664 (2022),47,NA
Les Sables-d'Olonne,85194,851008518085340,Les Sables-d'Olonne,Les Sables-d'Olonne,CA Les Sables-d'Olonne-Agglomération,"85,66",48 740 (2022),569,NA
Saint-André-Goule-d'Oie,85196,85250,La Roche-sur-Yon,Montaigu-Vendée,CC du Pays-de-Saint-Fulgent-les-Essarts,"20,19",1 942 (2022),96,NA
Saint-Aubin-des-Ormeaux,85198,85130,La Roche-sur-Yon,Mortagne-sur-Sèvre,CC du Pays-de-Mortagne,"12,63",1 382 (2022),109,NA
Saint-Aubin-la-Plaine,85199,85210,Fontenay-le-Comte,La Châtaigneraie,CC Sud-Vendée-Littoral,"11,63",533 (2022),46,NA
Saint-Avaugourd-des-Landes,85200,85540,Les Sables-d'Olonne,Mareuil-sur-Lay-Dissais,CC Vendée-Grand-Littoral,"20,85",1 166 (2022),56,NA
Saint-Benoist-sur-Mer,85201,85540,Les Sables-d'Olonne,Mareuil-sur-Lay-Dissais,CC Vendée-Grand-Littoral,"15,53",511 (2022),33,NA
Saint-Christophe-du-Ligneron,85204,85670,Les Sables-d'Olonne,Challans,CC Challans-Gois-Communauté,"42,42",2 653 (2022),63,NA
Saint-Cyr-des-Gâts,85205,85410,Fontenay-le-Comte,La Châtaigneraie,CC Pays-de-Fontenay-Vendée,"21,08",543 (2022),26,NA
Saint-Cyr-en-Talmondais,85206,85540,Les Sables-d'Olonne,Mareuil-sur-Lay-Dissais,CC Vendée-Grand-Littoral,"13,91",400 (2022),29,NA
Saint-Denis-du-Payré,85207,85580,Fontenay-le-Comte,Luçon,CC Sud-Vendée-Littoral,"16,24",413 (2022),25,NA
Saint-Denis-la-Chevasse,85208,85170,La Roche-sur-Yon,Aizenay,CC de Vie-et-Boulogne,"39,47",2 425 (2022),61,NA
Saint-Étienne-de-Brillouet,85209,85210,Fontenay-le-Comte,La Châtaigneraie,CC Sud-Vendée-Littoral,"18,93",613 (2022),32,NA
Saint-Étienne-du-Bois,85210,85670,La Roche-sur-Yon,Challans,CC de Vie-et-Boulogne,"29,44",2 251 (2022),76,NA
Saint-Fulgent,85215,85250,La Roche-sur-Yon,Montaigu-Vendée,CC du Pays-de-Saint-Fulgent-les-Essarts,"36,82",3 924 (2022),107,NA
Saint-Georges-de-Pointindoux,85218,85150,Les Sables-d’Olonne,Talmont-Saint-Hilaire,Pays-des-Achards,"15,37",1 820 (2022),118,NA
Saint-Germain-de-Prinçay,85220,85110,La Roche-sur-Yon,Chantonnay,CC du Pays-de-Chantonnay,"24,34",1 629 (2022),67,NA
Saint-Gervais,85221,85230,Les Sables-d'Olonne,Saint-Jean-de-Monts,CC Challans-Gois-Communauté,"41,90",2 752 (2022),66,NA
Saint-Gilles-Croix-de-Vie,85222,85800,Les Sables-d'Olonne,Saint-Hilaire-de-Riez,CA Pays de Saint-Gilles-Croix-de-Vie Agglomération,"10,25",8 140 (2022),794,NA
Saint-Hilaire-de-Riez,85226,85270,Les Sables-d'Olonne,Saint-Hilaire-de-Riez,CA Pays de Saint-Gilles-Croix-de-Vie Agglomération,"48,85",12 923 (2022),265,NA
Saint-Hilaire-de-Voust,85229,85120,Fontenay-le-Comte,La Châtaigneraie,CC du Pays-de-la-Châtaigneraie,"18,86",628 (2022),33,NA
Saint-Hilaire-des-Loges,85227,85240,Fontenay-le-Comte,Fontenay-le-Comte,CC Vendée-Sèvre-Autise,"35,20",1 904 (2022),54,NA
Saint-Hilaire-la-Forêt,85231,85440,Les Sables-d'Olonne,Talmont-Saint-Hilaire,CC Vendée-Grand-Littoral,"10,88",824 (2022),76,NA
Saint-Hilaire-le-Vouhis,85232,85480,La Roche-sur-Yon,Chantonnay,CC du Pays-de-Chantonnay,"28,91",1 095 (2022),38,NA
Saint-Jean-d'Hermine,85223,85210,Fontenay-le-Comte,La Châtaigneraie,CC Sud-Vendée-Littoral,"47,83",3 593 (2022),75,NA
Saint-Jean-de-Monts,85234,85160,Les Sables-d'Olonne,Saint-Jean-de-Monts,CC Océan-Marais-de-Monts,"61,72",8 809 (2022),143,NA
Saint-Juire-Champgillon,85235,85210,Fontenay-le-Comte,La Châtaigneraie,CC Sud-Vendée-Littoral,"20,75",427 (2022),21,NA
Saint-Julien-des-Landes,85236,85150,Les Sables-d’Olonne,Talmont-Saint-Hilaire,Pays-des-Achards,"28,31",2 018 (2022),71,NA
Saint-Laurent-de-la-Salle,85237,85410,Fontenay-le-Comte,La Châtaigneraie,CC Pays-de-Fontenay-Vendée,"19,22",394 (2022),20,NA
